Marca temporal,"Frente a usted hay 2 muestras codificadas, elija la muestra que más le gustó.",Califica el Sabor 144,Califica el Sabor 232,Califica el Color 144 ,Califica el Color 232 ,Califica agrado de Aroma 144,Califica agrado de Aroma 232,Califica Textura 144,Califica Textura 232,Observaciones 144,Observaciones 232
22/11/2025 10:52:09,Muestra 144,4,3,5,4,4,3,4,3,Agradable sabor equilibrado ,"Más agria, sin embargo no le desagrada el sabor "
22/11/2025 11:00:59,Muestra 232,3,4,2,4,2,3,2,4,"Se le puede mejorar la textura, tiene mucho sabor a grasa ","Mejor textura y sabor, menos sabor a grasa "
22/11/2025 11:04:23,Muestra 232,3,5,5,5,4,5,5,5,Es más ácida que la segunda ,Le gustó la textura y el sabo
22/11/2025 11:06:45,Muestra 144,3,2,2,3,4,3,4,2,"El color lo encontró muy pálido, no le gusta la mayonesa pálida ",Sabor demasiado ácido para una mayonesa 
22/11/2025 11:11:04,Muestra 232,3,4,3,5,5,4,5,3,La encuentra más ácida que el resto de las mayonesas ,"No le agradó el daño, a su percepción no sabe a las mayonesas tradicionales "
22/11/2025 11:15:25,Muestra 144,3,2,5,5,3,4,4,3,La encontró demasiado ácida en comparación con las demás mayonesas ,"Le agradó el sabor, aroma y textura, no le cambiaría nada "
22/11/2025 11:19:26,Muestra 144,5,2,5,4,4,5,4,3,Le agradó la acidez de la mayonesa,"No le gustó el sabor, la encuentra muy incipida "
22/11/2025 11:25:30,Muestra 144,4,1,3,2,2,1,4,2,"Le gustó, ya que la encuentra con sabor equilibrado ",Mucho sabor agrio a diferencia de las otras 
22/11/2025 11:27:35,Muestra 232,2,5,3,3,3,4,4,4,Demasiada sal y muy agria para una mayonesa ,Equilibrada en cuanto a textura y sabor 
22/11/2025 11:31:31,Muestra 232,3,4,4,5,5,5,3,4,Más suave menos agria ,Más cremosa
22/11/2025 11:33:54,Muestra 144,4,2,4,4,5,4,3,2,Menos agria que el resto de mayonesas,"Más cremosa, le gustó el sabor "
22/11/2025 11:37:58,Muestra 144,5,3,5,3,4,4,5,3,Le agradó el color y la textura ,La textura y el sabor no le agrada por qué es muy ácida 
22/11/2025 11:39:45,Muestra 144,5,3,5,4,5,4,5,3,"Equilibrado con la acidez, sin embargo la encontró demasiado aceitosa","Buena cremosidad, pero incipida de sabor "
22/11/2025 11:40:53,Muestra 144,3,2,4,4,2,2,4,3,"Muy ácida, la encontró con sabor a vinagre ","Cremosa, sin embargo no le agradó que tuviera mucha aceite "
22/11/2025 11:42:13,Muestra 144,4,3,5,2,4,1,4,5,Le gustó lo equilibrada de los sabores sin embargo la textura líquida no le agradó ,No le gustó el olor ni el sabor pero si la cremosidad
22/11/2025 11:48:38,Muestra 232,4,2,4,3,4,3,5,5,Mucho aceite pero buen sabor ,Bien de aceite pero poco sabor 
22/11/2025 11:50:54,Muestra 144,4,4,5,4,5,4,4,4,Buen sabor y equilibrada,Muy aceitosa 
22/11/2025 11:51:29,Muestra 144,4,2,3,3,4,2,5,3,Buen sabor y bien de sal ,Muy cítrica 
22/11/2025 11:52:11,Muestra 232,3,2,4,2,3,4,5,2,Sabor muy artificial ,Excelente sabor y limon
22/11/2025 11:53:36,Muestra 144,5,3,5,2,4,2,5,5,sabor clásico y equilibrado ,sabor más aceitoso
22/11/2025 11:55:42,Muestra 144,4,3,4,2,4,2,4,2,Más suave de sabor ,Más artificial 
22/11/2025 11:58:39,Muestra 144,5,3,3,5,5,3,4,2,"Leve sabor a limón, suave sabor ",Más artificial 
22/11/2025 12:05:52,Muestra 232,2,5,3,5,3,5,2,5,Muy líquida ,Más espesa y mejor sabor
22/11/2025 12:10:13,Muestra 144,5,3,5,2,4,4,5,3,Sabor equilibrado,Sabor más dulce 
