Marca temporal,"Frente a usted hay 2 muestras codificadas,  elija la muestra que más le gustó.",Comentarios muestra 569,Comentarios muestra 792
17/7/2025 13:40:01,Muestra 792,Muy líquida,Es más concentrada
17/7/2025 13:40:33,Muestra 792,Es más suave de sabor,Es más espeso y concentrada
17/7/2025 13:41:05,Muestra 792,Su sabor es más ácido,Es más Sabrosita con sabor
17/7/2025 13:41:28,Muestra 792,Es muy dulce,Esta está rica
17/7/2025 13:42:03,Muestra 569,Tiene más sabor a mayonesa,Sabe muy preparada
17/7/2025 13:42:44,Muestra 569,Le gustó porque sabe a mayonesa,No le gustó porque está muy intensa
17/7/2025 13:43:28,Muestra 569,Le gustó porque es más suave de sabor,Tiene un sabor a preparado de mayonesa
17/7/2025 13:43:47,Muestra 569,Más dulce,Es muy ácida
17/7/2025 13:44:15,Muestra 792,Muy líquida,Es más rica
17/7/2025 13:44:45,Muestra 792,Está buena de sabor pero muy aguada,Le gustó más porque es más concentrada y espesa
17/7/2025 13:45:26,Muestra 792,Es muy aguada y ácida,Tiene mejor sabor y textura
17/7/2025 13:46:26,Muestra 792,Está buena de sabor pero muy líquida,Es mejor porque es más espesa
17/7/2025 13:46:56,Muestra 569,El sabor es más rico,Más sabor a grasa
17/7/2025 13:48:09,Muestra 569,Más sabor a mayonesa tradicional,Cree que está muy preparada
17/7/2025 13:48:31,Muestra 569,Más rica sabe a la vez,Muy dulce
17/7/2025 13:49:34,Muestra 569,Es más rica pero con la textura de la 792,Mejorar el sabor
17/7/2025 13:50:47,Muestra 569,Más rica tiene mucho más gusto,Muy parecida pero mejor la 569
17/7/2025 13:51:21,Muestra 569,Te gustó porque más acidita,No le gustó porque es muy dulce
17/7/2025 13:52:03,Muestra 569,Más saborcito,Es más espesa Pero le falta sabor
17/7/2025 13:52:38,Muestra 792,Es muy ácida,Es más rica y espesa
17/7/2025 13:54:14,Muestra 569,Tiene un ingrediente que no tiene la 792 por eso le gustó sabe a tocineta,Tiene sabor a mayonesa tradicional
17/7/2025 13:55:12,Muestra 792,Está buena la usaría para hacer salsa y preparar perros caliente,Le gustó más porque es más espesa y la usaría para para ensalada
17/7/2025 13:55:38,Muestra 569,Le gustó porque sabe mayonesa,Un poco ácida
17/7/2025 13:56:15,Muestra 569,Tiene mejor sabor aunque le falta espesor,Muy ácida
17/7/2025 13:56:45,Muestra 792,Tiene mucho sabor a vinagre,Dulcita Sabrosita
17/7/2025 13:57:31,Muestra 569,Tiene un sabor a vinagre y por eso le gustó,Tiene un sabor a mayonesa rancia
17/7/2025 13:58:11,Muestra 792,Muy ácido,Tiene mejor sabor
17/7/2025 13:58:37,Muestra 792,Clarita y suave,Tiene más consistencia
17/7/2025 13:59:14,Muestra 792,Es simple,Tiene más gusto
17/7/2025 13:59:57,Muestra 569,Le gustó porque tiene más sabor a mayonesa,Muy dulcita para ser mayonesa
17/7/2025 14:01:22,Muestra 792,Está muy dulce y ácida,Está dulce pero concentrada muy rica
17/7/2025 14:02:07,Muestra 792,Muy dulce,Está más espesa y mejor de sabor sin embargo un poco salada
17/7/2025 14:02:33,Muestra 569,Poquito más dulcita,Sabor tradicional normal
17/7/2025 14:04:28,Muestra 569,Le gustó más porque tiene un sabor diferente,También está sabroso pero mejor la la 569
17/7/2025 14:05:06,Muestra 792,Tiene un sabor a mayonesa para perro caliente,Está bueno más sabroso
17/7/2025 14:05:48,Muestra 569,Le gustó porque no se le siente tanto la grasa,Mucho más grasosa
17/7/2025 14:07:51,Muestra 569,Tiene como saborizante sabe ahumada,La sintió muy simple
17/7/2025 14:08:20,Muestra 792,Es algo ácida,Le gustó porque sabe la mayonesa tradicional
17/7/2025 14:08:41,Muestra 569,Le gustó porque la sintió equilibrada,Es muy dulce
17/7/2025 14:09:29,Muestra 569,La sintió muy neutra,Sabe mayonesa preparada
17/7/2025 14:13:48,Muestra 569,Le gustó más porque está más dulcita y suave,No le gustó nada
17/7/2025 14:14:22,Muestra 569,Le gustó porque es como agridulce,Es muy fuerte y algo al final muy ácida
17/7/2025 14:15:02,Muestra 569,Se le siente más al sazón Ah mayonesa,Es simple
17/7/2025 14:15:36,Muestra 792,Le gustó porque es amarga,El sabor es más tradicional
17/7/2025 14:16:40,Muestra 569,Le gustó porque tiene sabor a la mavesa,No le gustó porque la sintió siempre
17/7/2025 14:17:07,Muestra 569,Le gustó porque no sabía tanto a grasa,No le gustó porque tiene mucho sabor ahora
17/7/2025 14:17:44,Muestra 569,Le gustó porque es como natural,No le gustó porque es muy dulce
17/7/2025 14:18:31,Muestra 792,Está bien pero muy líquida,Le gustó porque es más consistente y de sabor también está bien
17/7/2025 14:19:11,Muestra 569,Tiene mejor sabor,Es insípida
